,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,50.0,71,75,24.16,AR,1604083876
1,Punta de Piedra,7.62,-71.49,89.62,61,6,4.07,VE,1604084491
2,Hithadhoo,-0.6,73.08,83.12,76,78,9.84,MV,1604083859
3,Barrow,71.29,-156.79,19.4,92,90,13.87,US,1604084158
4,Cap Malheureux,-19.98,57.61,68.0,57,0,3.0,MU,1604084494
5,Balkanabat,39.51,54.37,64.83,24,0,11.5,TM,1604084495
6,Constitución,-35.33,-72.42,67.66,53,0,8.03,CL,1604084168
7,Batemans Bay,-35.72,150.18,62.01,96,100,8.88,AU,1604084157
8,Tuktoyaktuk,69.45,-133.04,6.8,84,75,6.93,CA,1604083897
9,Hobart,-42.88,147.33,46.0,93,40,6.93,AU,1604083881
10,Mataura,-46.19,168.86,55.0,97,100,3.0,NZ,1604084141
11,Henties Bay,-22.12,14.28,57.99,82,90,9.04,NA,1604084176
12,Saskylakh,71.92,114.08,-1.91,85,0,6.15,RU,1604083914
13,Rikitea,-23.12,-134.97,75.63,69,0,8.19,PF,1604083877
14,Nikolskoye,59.7,30.79,48.0,93,90,3.06,RU,1604084148
15,Deputatsky,69.3,139.9,3.36,96,100,1.1,RU,1604084163
16,Pevek,69.7,170.31,22.86,94,84,6.46,RU,1604083959
17,Bredasdorp,-34.53,20.04,53.6,62,0,4.7,ZA,1604083887
18,Bo Rai,12.57,102.54,74.7,91,86,1.92,TH,1604084510
19,Ketchikan,55.34,-131.65,44.6,86,40,4.7,US,1604084511
20,Hong Kong,22.29,114.16,75.0,78,66,1.01,HK,1604084123
21,Sur,22.57,59.53,72.99,62,0,3.69,OM,1604084513
22,Provideniya,64.38,-173.3,23.92,93,98,6.58,RU,1604083951
23,Wattens,47.27,11.6,48.0,93,20,2.24,AT,1604084515
24,Polunochnoye,60.87,60.42,29.8,95,18,4.27,RU,1604084358
25,Bluff,-46.6,168.33,55.0,97,100,3.0,NZ,1604084139
26,Jamestown,42.1,-79.24,37.99,93,90,5.82,US,1604084144
27,Chui,-33.7,-53.46,60.37,70,29,11.63,UY,1604084146
28,Hamilton,39.18,-84.53,50.0,61,75,9.17,US,1604084405
29,Clyde River,70.47,-68.59,15.8,85,75,16.11,CA,1604084132
30,Iqaluit,63.75,-68.51,3.2,65,20,5.82,CA,1604084192
31,Fort Nelson,58.81,-122.7,21.2,92,90,10.29,CA,1604083944
32,Busselton,-33.65,115.33,61.0,59,0,3.04,AU,1604084130
33,Brae,60.4,-1.35,50.0,71,40,28.86,GB,1604084201
34,San Rafael,-34.62,-68.33,74.5,20,0,12.08,AR,1604084527
35,Hilo,19.73,-155.09,80.01,74,1,3.36,US,1604083856
36,Lewistown,40.6,-77.57,48.99,76,90,4.7,US,1604084530
37,Cidreira,-30.18,-50.21,65.62,62,32,9.28,BR,1604083915
38,Xai-Xai,-25.05,33.64,73.65,84,14,11.32,MZ,1604084532
39,Avilés,43.55,-5.92,61.0,82,0,2.24,ES,1604084533
40,Maïné Soroa,13.21,12.02,85.15,16,0,7.2,NE,1604084534
41,Hermanus,-34.42,19.23,54.0,77,0,11.54,ZA,1604083878
42,Margate,51.38,1.39,57.99,89,100,4.0,GB,1604083955
43,Mar del Plata,-38.0,-57.56,60.8,63,0,9.17,AR,1604084050
44,Vaini,-21.2,-175.2,71.6,68,75,8.05,TO,1604084136
45,Atuona,-9.8,-139.03,77.41,73,100,12.73,PF,1604084100
46,Port Alfred,-33.59,26.89,60.82,59,80,3.2,ZA,1604084145
47,Écija,37.54,-5.08,73.99,72,0,2.24,ES,1604084542
48,Sola,-13.88,167.55,81.27,77,98,11.43,VU,1604083911
49,Torbay,47.67,-52.73,37.0,59,75,14.99,CA,1604084199
50,Cobija,-11.03,-68.77,79.45,64,84,7.31,BO,1604084545
51,Taoudenni,22.68,-3.98,82.42,15,100,10.16,ML,1604084167
52,Manggar,-2.88,108.27,78.78,82,54,3.15,ID,1604084547
53,Castro,-24.79,-50.01,55.53,93,100,10.02,BR,1604084134
54,Port Lincoln,-34.73,135.87,56.1,84,47,10.51,AU,1604084160
55,Bahía Blanca,-38.72,-62.27,76.23,18,0,9.01,AR,1604084265
56,Tuatapere,-46.13,167.68,55.0,97,100,3.0,NZ,1604084206
57,Ponta do Sol,32.67,-17.1,69.8,77,20,16.11,PT,1604084148
58,Coahuayana Viejo,18.73,-103.68,84.2,70,75,5.08,MX,1604084095
59,Albany,42.6,-73.97,36.0,87,95,6.67,US,1604084122
60,Carnarvon,-24.87,113.63,71.6,83,90,6.93,AU,1604084153
61,Bethel,41.37,-73.41,37.4,86,90,9.17,US,1604084135
62,Upernavik,72.79,-56.15,20.88,95,95,3.31,GL,1604083901
63,Maynard,42.43,-71.45,30.99,92,90,10.29,US,1604084448
64,San Patricio,28.02,-97.52,69.01,45,20,11.41,US,1604084149
65,Ahipara,-35.17,173.17,64.13,89,15,9.37,NZ,1604084131
66,Coyhaique,-45.58,-72.07,69.8,37,0,5.82,CL,1604084163
67,Suamico,44.63,-88.04,36.0,47,75,10.29,US,1604084564
68,Fort Walton Beach,30.41,-86.62,66.2,59,1,11.41,US,1604084565
69,Klaksvík,62.23,-6.59,46.4,87,3,26.4,FO,1604084155
70,Jonuta,18.08,-92.13,73.4,94,75,9.17,MX,1604084567
71,Kapaa,22.08,-159.32,73.99,83,40,6.93,US,1604084132
72,Darnah,32.77,22.64,69.46,67,5,15.05,LY,1604084552
73,Cairns,-16.92,145.77,75.2,88,90,1.12,AU,1604083861
74,Pandan,14.05,124.17,81.14,78,100,17.43,PH,1604084572
75,Lutz,28.15,-82.46,78.8,36,1,6.93,US,1604084573
76,Swan Hill,-35.34,143.55,52.56,89,0,10.13,AU,1604084574
77,São Filipe,14.9,-24.5,83.05,55,69,17.2,CV,1604084165
78,Ostrovnoy,68.05,39.51,34.66,88,92,19.62,RU,1604083960
79,Yangambi,0.81,24.43,70.92,97,98,2.68,CD,1604084578
80,Mogadishu,2.04,45.34,79.97,80,0,12.86,SO,1604084579
81,Lebu,-37.62,-73.65,59.04,67,0,12.57,CL,1604084145
82,Severo-Kuril'sk,50.68,156.12,42.51,89,100,29.17,RU,1604084139
83,Mountain Home,43.13,-115.69,59.0,26,1,14.99,US,1604084582
84,Andenes,69.31,16.12,35.6,64,0,16.11,NO,1604084207
85,Atasū,48.68,71.64,33.17,85,0,3.56,KZ,1604084585
86,Yashkino,55.87,85.43,32.0,98,75,8.95,RU,1604084586
87,Ribeira Grande,38.52,-28.7,69.8,94,75,17.22,PT,1604083875
88,San Quintín,30.48,-115.95,74.88,35,100,7.45,MX,1604084192
89,Lüderitz,-26.65,15.16,62.15,51,100,29.68,NA,1604084132
90,Sulangan,11.14,123.72,83.57,79,100,21.74,PH,1604084590
91,Colares,38.8,-9.45,66.99,72,0,4.7,PT,1604084592
92,Tasiilaq,65.61,-37.64,32.0,97,75,3.36,GL,1604083874
93,Aswān,24.09,32.91,83.8,15,0,7.16,EG,1604084594
94,Mersing,2.43,103.84,75.2,94,100,4.7,MY,1604084595
95,Oussouye,12.48,-16.55,89.6,84,0,2.24,SN,1604084185
96,Naze,28.37,129.48,73.4,60,40,19.46,JP,1604084597
97,Qaanaaq,77.48,-69.36,14.9,83,99,5.95,GL,1604084140
98,Vitim,59.45,112.56,20.23,96,100,1.68,RU,1604084599
99,Dikson,73.51,80.55,12.69,95,100,28.77,RU,1604083902
100,Fortuna,40.6,-124.16,55.4,66,1,6.93,US,1604084193
101,Hobyo,5.35,48.53,81.21,78,46,12.95,SO,1604084172
102,Xiangxiang,27.73,112.53,57.56,91,85,2.95,CN,1604084604
103,Cherskiy,68.75,161.3,4.77,91,100,5.21,RU,1604083915
104,Tevaitoa,-16.78,-151.5,79.88,76,0,12.73,PF,1604084606
105,Quatre Cocos,-20.21,57.76,69.8,52,40,13.87,MU,1604084607
106,Turaif,31.67,38.66,69.8,21,0,9.17,SA,1604084608
107,Egvekinot,66.32,-179.17,12.74,84,51,8.19,RU,1604084008
108,Arraial do Cabo,-22.97,-42.03,77.0,88,75,9.17,BR,1604084132
109,Pangnirtung,66.15,-65.71,12.2,66,20,3.36,CA,1604084163
110,Santa Maria,-29.68,-53.81,73.4,35,0,14.99,BR,1604084452
111,Khatanga,71.97,102.5,-8.75,84,0,6.73,RU,1604084157
112,Zatoka,46.07,30.47,55.4,71,0,8.95,UA,1604084615
113,San Jerónimo,-11.95,-75.28,63.91,43,100,8.46,PE,1604084616
114,Cape Town,-33.93,18.42,60.01,62,0,23.04,ZA,1604084047
115,Punta Arenas,-53.15,-70.92,55.4,62,75,33.33,CL,1604084131
116,Cockburn Town,21.46,-71.14,86.0,70,75,13.87,TC,1604084182
117,Chokurdakh,70.63,147.92,6.91,95,100,6.42,RU,1604084159
118,Fairbanks,64.84,-147.72,10.4,92,90,1.79,US,1604084137
119,Davidson,36.15,-86.78,54.0,54,75,9.17,US,1604084350
120,Longyearbyen,78.22,15.64,17.6,72,0,4.7,SJ,1604084150
121,Puerto Ayora,-0.74,-90.35,82.4,61,20,8.05,EC,1604084141
122,Tawao,4.25,117.89,75.2,94,20,1.12,MY,1604084626
123,Şırnak,37.52,42.46,53.49,39,100,2.57,TR,1604084627
124,East London,-33.02,27.91,57.2,93,75,5.82,ZA,1604084144
125,Finnsnes,69.23,17.98,21.99,92,0,14.99,NO,1604084629
126,Grand Gaube,-20.01,57.66,68.0,57,0,3.0,MU,1604084631
127,Dumraon,25.55,84.15,70.84,52,1,6.4,IN,1604084632
128,Avarua,-21.21,-159.78,75.2,73,100,6.93,CK,1604084135
129,Santa Cruz,30.42,-9.6,84.2,20,0,5.82,MA,1604084634
130,Lethem,3.38,-59.8,90.05,57,80,5.01,GY,1604084635
131,Nanortalik,60.14,-45.24,28.27,92,98,5.93,GL,1604084167
132,Krasne,49.91,24.61,41.0,100,100,2.24,UA,1604084637
133,Khandyga,62.67,135.6,-4.99,89,49,2.89,RU,1604084135
134,Bida,9.08,6.02,83.05,45,45,4.36,NG,1604084496
135,Adrar,20.5,-10.07,88.32,13,100,6.51,MR,1604084142
136,Adwa,14.16,38.9,61.45,40,2,3.2,ET,1604084642
137,Malé,4.17,73.51,82.4,83,75,9.17,MV,1604084436
138,Thompson,55.74,-97.86,19.4,62,75,2.24,CA,1604084148
139,Gorontalo,0.54,123.06,75.47,85,97,2.17,ID,1604084645
140,Barra de Tecoanapa,16.52,-98.75,86.68,59,0,6.96,MX,1604084646
141,Souillac,-20.52,57.52,69.8,52,40,13.87,MU,1604084012
142,Chakwal,32.93,72.86,59.0,51,0,8.05,PK,1604084427
143,Kavaratti,10.57,72.64,82.22,75,68,9.08,IN,1604084191
144,Kutum,14.2,24.67,79.11,24,75,16.62,SD,1604084650
145,Dryden,49.78,-92.75,26.6,86,90,11.41,CA,1604084472
146,Salgado,-11.03,-37.48,84.2,66,40,14.99,BR,1604084355
147,Saint-Philippe,-21.36,55.77,66.99,72,75,8.05,RE,1604084149
148,Porto Belo,-27.16,-48.55,73.4,49,75,14.99,BR,1604084655
149,Manaure,11.78,-72.44,86.0,79,75,11.41,CO,1604084656
150,São João da Barra,-21.64,-41.05,80.6,83,75,18.34,BR,1604084657
151,George Town,5.41,100.34,80.6,88,20,3.85,MY,1604083909
152,Piaçabuçu,-10.41,-36.43,79.99,76,100,13.87,BR,1604084659
153,Coquimbo,-29.95,-71.34,57.2,76,75,6.93,CL,1604084178
154,Airai,-8.93,125.41,60.04,94,0,1.61,TL,1604084137
155,San Policarpo,12.18,125.51,81.57,81,100,14.79,PH,1604084663
156,Zlobin,45.29,14.65,59.0,82,0,1.03,HR,1604084664
157,Abu Samrah,35.3,37.18,68.81,50,99,6.26,SY,1604084137
158,Norman Wells,65.28,-126.83,12.2,92,75,2.24,CA,1604084163
159,Ulaangom,49.98,92.07,24.69,92,38,2.35,MN,1604084667
160,Mayo,38.89,-76.51,52.0,76,90,11.41,US,1604084668
161,Grindavik,63.84,-22.43,41.0,80,75,17.22,IS,1604084145
162,Antofagasta,-23.65,-70.4,69.01,63,20,13.87,CL,1604084670
163,Narasannapeta,18.42,84.05,74.8,64,98,5.64,IN,1604084672
164,Bengkulu,-3.8,102.27,75.61,89,97,4.5,ID,1604084144
165,Skovorodino,53.98,123.92,17.73,95,100,3.47,RU,1604084674
166,Rome,43.21,-75.46,41.0,56,75,8.05,US,1604084675
167,Kavieng,-2.57,150.8,81.59,77,93,8.39,PG,1604084174
168,Altay,47.87,88.12,22.51,87,24,3.36,CN,1604083924
169,Alice Town,25.72,-79.3,82.29,73,0,5.95,BS,1604084678
170,Osakarovka,50.56,72.57,30.24,95,2,2.91,KZ,1604084680
171,Pangody,65.85,74.49,24.08,98,100,9.66,RU,1604084681
172,Bahraich,27.58,81.6,72.07,47,0,5.61,IN,1604084682
173,Grand-Lahou,5.14,-5.02,78.73,85,54,6.13,CI,1604084683
174,Hołoby,51.09,25.01,46.99,98,70,11.01,UA,1604084684
175,Kahului,20.89,-156.47,78.8,74,40,9.17,US,1604083930
176,Faya,18.39,42.45,62.6,77,0,0.45,SA,1604084151
177,Ulaanbaatar,47.91,106.88,23.0,85,75,8.95,MN,1604084462
178,Sawtell,-30.38,153.1,69.8,83,90,8.05,AU,1604084172
179,Isla Mujeres,21.23,-86.73,86.0,74,75,19.46,MX,1604084690
180,Myitkyina,25.38,97.4,73.02,85,88,2.42,MM,1604084691
181,Saint Paul Harbor,57.79,-152.41,33.8,74,90,5.82,US,1604084135
182,Vestmannaeyjar,63.44,-20.27,42.8,93,90,24.16,IS,1604084511
183,Wahiawā,21.5,-158.02,82.0,83,20,3.36,US,1604084694
184,Parrita,9.52,-84.32,78.8,65,75,5.82,CR,1604084695
185,Indramayu,-6.33,108.32,81.77,75,100,2.77,ID,1604084696
186,Kano,12.0,8.52,82.65,24,0,3.69,NG,1604084697
187,Palana,59.12,159.97,30.09,98,100,6.58,RU,1604084698
188,Beloha,-25.17,45.05,71.08,54,0,13.78,MG,1604084172
189,Los Llanos de Aridane,28.66,-17.92,73.4,78,40,12.75,ES,1604084139
190,Morada Nova,-5.11,-38.37,96.37,29,100,11.81,BR,1604084702
191,Ugoofaaru,5.67,73.0,82.56,74,33,8.1,MV,1604084703
192,Bosaso,11.28,49.18,81.36,72,66,2.84,SO,1604084704
193,Davila,18.47,120.58,78.8,74,20,5.82,PH,1604084705
194,Butaritari,3.07,172.79,81.34,80,74,18.5,KI,1604084131
195,Tigil',57.8,158.67,31.26,98,100,3.27,RU,1604084708
196,Ust-Kuyga,70.02,135.6,2.53,92,100,1.34,RU,1604084709
197,Kaitangata,-46.28,169.85,57.0,96,100,1.99,NZ,1604084132
198,Turinsk,58.05,63.7,30.67,97,100,7.94,RU,1604084711
199,Prainha,-1.8,-53.48,93.58,42,88,5.64,BR,1604084712
200,Ürümqi,43.8,87.6,37.4,69,0,2.24,CN,1604084158
201,Zaoyang,32.13,112.75,58.91,92,100,3.29,CN,1604084714
202,Oakdale,44.96,-92.96,45.0,45,1,6.93,US,1604084715
203,San Angelo,31.46,-100.44,66.99,36,1,3.36,US,1604084640
204,Kismayo,-0.36,42.55,80.15,78,42,11.03,SO,1604084207
205,Black River,18.03,-77.85,87.01,74,20,14.99,JM,1604084719
206,Inhambane,-23.86,35.38,77.0,78,40,4.7,MZ,1604084155
207,Zavyalovo,54.51,82.45,35.6,93,90,13.42,RU,1604084721
208,Ilo,-17.64,-71.34,69.8,68,0,11.41,PE,1604084722
209,Lagoa,39.05,-27.98,68.92,89,100,27.18,PT,1604084189
210,Tyup,42.73,78.36,31.39,80,0,2.21,KG,1604084724
211,Gouyave,12.16,-61.73,87.8,74,20,23.04,GD,1604084725
212,Plettenberg Bay,-34.05,23.37,54.9,63,0,2.73,ZA,1604084727
213,Khāsh,28.22,61.22,42.42,39,0,2.62,IR,1604084728
214,Bathsheba,13.22,-59.52,77.0,94,90,24.16,BB,1604084159
215,Fare,-16.7,-151.02,79.47,80,0,11.12,PF,1604084730
216,Port Hedland,-20.32,118.57,73.4,60,12,6.93,AU,1604084503
217,Anadyr,64.75,177.48,3.2,84,20,6.71,RU,1604084732
218,College,64.86,-147.8,12.0,85,90,1.66,US,1604084082
219,Laguna,38.42,-121.42,71.01,30,5,3.36,US,1604084734
220,Saldanha,-33.01,17.94,59.0,62,0,17.22,ZA,1604083871
221,Yellowknife,62.46,-114.35,19.4,85,75,11.41,CA,1604084141
222,Lázaro Cárdenas,17.96,-102.2,87.93,58,3,4.61,MX,1604084735
223,Karasjok,69.47,25.51,33.8,64,75,17.22,NO,1604084739
224,Bambous Virieux,-20.34,57.76,69.8,52,40,13.87,MU,1604084106
225,Nouakchott,18.09,-15.98,80.6,61,44,20.8,MR,1604084726
226,Tiquisio,8.56,-74.27,83.88,84,50,3.04,CO,1604084742
227,Panacan,9.25,118.41,80.6,88,75,6.93,PH,1604084743
228,Acapulco de Juárez,16.86,-99.89,86.0,79,40,4.7,MX,1604084042
229,Ponta Delgada,37.73,-25.67,69.8,88,75,17.22,PT,1604084176
230,Puerto Escondido,15.85,-97.07,82.4,69,75,8.05,MX,1604084712
231,Saint-François,46.42,3.91,50.0,93,0,2.1,FR,1604084687
232,Brawley,32.98,-115.53,80.01,15,1,1.68,US,1604084749
233,Darhan,49.49,105.92,28.89,95,3,3.53,MN,1604084750
234,Luganville,-15.53,167.17,75.2,100,90,9.15,VU,1604084751
235,Udachny,66.42,112.4,-0.4,91,0,2.53,RU,1604084752
236,Esperance,-33.87,121.9,57.2,67,0,17.22,AU,1604084172
237,Manakara,-22.13,48.02,69.03,79,99,7.63,MG,1604084755
238,Olafsvik,64.89,-23.71,42.01,73,4,11.65,IS,1604084756
239,Padang,-0.95,100.35,78.12,78,100,3.49,ID,1604084207
240,Itarema,-2.92,-39.92,83.71,62,42,17.72,BR,1604084758
241,Urucará,-2.54,-57.76,99.3,38,43,0.72,BR,1604084759
242,Alofi,-19.06,-169.92,73.4,94,22,13.87,NU,1604084166
243,Geraldton,-28.77,114.6,62.6,88,0,2.24,AU,1604084761
244,Ust-Maya,60.42,134.53,0.0,92,99,2.64,RU,1604084762
245,Pacific Grove,36.62,-121.92,62.6,81,1,6.93,US,1604084067
246,Paamiut,61.99,-49.67,26.49,84,100,10.31,GL,1604084166
247,Atar,20.52,-13.05,89.62,14,0,8.79,MR,1604084195
248,Marzuq,14.4,46.47,68.88,66,0,2.75,YE,1604084767
249,Cabo San Lucas,22.89,-109.91,84.2,57,40,3.36,MX,1604084721
250,Kathmandu,27.72,85.32,60.8,82,20,2.24,NP,1604084769
251,Otradnoye,59.78,30.82,48.0,93,90,2.89,RU,1604084770
252,Sosnytsya,51.52,32.5,47.93,87,96,1.79,UA,1604084772
253,São Borja,-28.66,-56.0,71.87,44,4,14.85,BR,1604084773
254,Pisco,-13.7,-76.22,69.01,72,75,9.17,PE,1604084774
255,Leh,34.17,77.58,28.96,66,27,3.89,IN,1604084590
256,Goderich,43.75,-81.72,35.6,74,93,12.75,CA,1604084705
257,Gizo Government Station,-8.1,156.84,80.91,74,97,7.67,SB,1604084777
258,Betsiamites,48.94,-68.65,37.4,40,1,6.93,CA,1604084778
259,Valdosta,30.83,-83.28,66.2,55,1,6.93,US,1604084538
260,Astoria,46.19,-123.83,57.99,71,75,9.17,US,1604084664
261,Lavrentiya,65.58,-171.0,21.94,85,100,7.38,RU,1604084196
262,Yaan,7.38,8.57,81.1,60,55,2.24,NG,1604084783
263,Tilichiki,60.47,166.1,27.86,99,95,2.21,RU,1604084784
264,Auki,-8.77,160.7,77.2,84,100,2.24,SB,1604084208
265,Katsuura,35.13,140.3,55.4,54,0,18.34,JP,1604084201
266,Mudgee,-32.59,149.59,52.0,100,75,4.7,AU,1604084787
267,Cascais,38.7,-9.42,66.99,72,0,4.7,PT,1604084788
268,Lorengau,-2.02,147.27,80.64,75,100,3.33,PG,1604084789
269,Ilulissat,69.22,-51.1,19.4,67,75,2.24,GL,1604084790
270,Choya,52.01,86.55,31.5,98,100,2.95,RU,1604084792
271,Kuruman,-27.45,23.43,75.34,34,92,9.04,ZA,1604084793
272,Vardø,70.37,31.11,32.0,81,75,17.22,NO,1604084699
273,Gazojak,41.19,61.4,47.07,48,0,9.82,TM,1604084795
274,Xiongzhou,25.12,114.3,61.5,82,0,1.36,CN,1604084796
275,Mbandaka,0.05,18.26,73.98,88,96,1.83,CD,1604084797
276,Prince Rupert,54.32,-130.32,50.0,70,20,3.36,CA,1604084583
277,Sitka,57.05,-135.33,39.2,93,90,6.93,US,1604084642
278,Alice Springs,-23.7,133.88,51.8,32,6,4.7,AU,1604084800
279,La Ronge,55.1,-105.28,24.8,68,90,14.99,CA,1604084802
280,Severnyy,50.68,36.55,46.4,87,90,4.47,RU,1604084208
281,Novopokrovka,49.84,36.55,50.0,76,90,4.47,UA,1604084804
282,Sumbe,-11.21,13.84,76.64,85,21,11.61,AO,1604084805
